ocupacion_observatorio,ocupacion_cuoc_match_1,score_1,ocupacion_cuoc_match_2,score_2,confianza,requiere_revision
Asistentes administrativos,ASISTENTE DE AUDITORÍA,0.667,ASISTENTE ADMINISTRATIVO / ASISTENTA ADMINISTRATIVA,0.658,MEDIA,False
Suboficiales de las Fuerzas Militares,SUBOFICIAL DE LAS FUERZAS MILITARES,1.172,OFICIAL FUERZAS MILITARES,1.006,ALTA,False
Obreros de Acuicultura,AYUDANTE DE ACUICULTURA,0.811,OBRERO DE ACUICULTURA / OBRERA DE ACUICULTURA,0.736,ALTA,False
8384,MONTAJISTA 360,0.111,ANIMADOR 3D / ANIMADORA 3D,0.069,BAJA,True
Operarios de Máquinas para la Elaboración de Productos de Tabaco,OPERADOR DE MÁQUINA PARA LA ELABORACIÓN DE PRODUCTOS DE TABACO / OPERADORA DE MÁQUINA PARA LA ELABORACIÓN DE PRODUCTOS DE TABACO,0.928,OPERADOR DE MÁQUINA DE ELABORACIÓN DE PRODUCTOS LÁCTEOS / OPERADORA DE MÁQUINA DE ELABORACIÓN DE PRODUCTOS LÁCTEOS,0.788,ALTA,False
2135,MONTAJISTA 360,0.111,ANIMADOR 3D / ANIMADORA 3D,0.069,BAJA,True
Gerentes de Ingeniería,DELINEANTE DE INGENIERÍA,0.926,AGENTE DE VENTAS DE INGENIERÍA,0.869,ALTA,False
0412,MONTAJISTA 360,0.111,ANIMADOR 2D / ANIMADORA 2D,0.069,BAJA,True
Controladores de Tráfico Aéreo,CONTROLADOR DE TRÁFICO AÉREO / CONTROLADORA DE TRÁFICO AÉREO,0.829,JEFE DE CONTROL DE TRÁFICO AÉREO / JEFA DE CONTROL DE TRÁFICO AÉREO,0.7,ALTA,False
Técnicos Forestales y de Recursos Naturales,TÉCNICO DE RECURSOS FORESTALES / TÉCNICA DE RECURSOS FORESTALES,0.924,ANALISTA DE POLÍTICAS DE RECURSOS NATURALES,0.874,ALTA,False
0512,MONTAJISTA 360,0.111,ANIMADOR 2D / ANIMADORA 2D,0.069,BAJA,True
Instructores y profesores de personas en condición de discapacidad,INSTRUCTOR Y PROFESOR DE PERSONAS EN CONDICIÓN DE DISCAPACIDAD / INSTRUCTORA Y PROFESORA DE PERSONAS EN CONDICIÓN DE DISCAPACIDAD,0.939,INSTRUCTOR DE PERSONAS EN CONDICIÓN DE DISCAPACIDAD / INSTRUCTORA DE PERSONAS EN CONDICIÓN DE DISCAPACIDAD,0.896,ALTA,False
3113,ANIMADOR 3D / ANIMADORA 3D,0.138,DISEÑADOR 3D / DISEÑADORA 3D,0.129,BAJA,True
4176,MONTAJISTA 360,0.111,OPERADOR DE CÁMARA 360 / OPERADORA DE CÁMARA 360,0.039,BAJA,True
"Inspectores de Control de Calidad, Procesamiento de Alimentos y Bebidas (nivel 3)",INSPECTOR DE CONTROL DE CALIDAD DE PROCESAMIENTO DE ALIMENTOS Y BEBIDAS / INSPECTORA DE CONTROL DE CALIDAD DE PROCESAMIENTO DE ALIMENTOS Y BEBIDAS,1.155,INSPECTOR DE CONTROL DE CALIDAD DE ALIMENTOS Y BEBIDAS / INSPECTORA DE CONTROL DE CALIDAD DE ALIMENTOS Y BEBIDAS,1.024,ALTA,False
Evaluadores de competencias laborales,EVALUADOR DE COMPETENCIAS LABORALES / EVALUADORA DE COMPETENCIAS LABORALES,0.836,AUXILIAR DE RELACIONES LABORALES,0.738,ALTA,False
Ajustadores de Máquinas-Herramientas,MAQUINISTA DE MÁQUINAS HERRAMIENTAS DE CONTROL NUMÉRICO,0.644,DISEÑADOR DE MÁQUINAS / DISEÑADORA DE MÁQUINAS,0.625,MEDIA,False
Joyeros y relojeros,RELOJERO / RELOJERA,0.703,JOYERO / JOYERA,0.606,ALTA,False
1211,ANIMADOR 2D / ANIMADORA 2D,0.069,TÉCNICO EN DIBUJO 2D / TÉCNICA EN DIBUJO 2D,0.043,BAJA,True
2134,MONTAJISTA 360,0.111,ANIMADOR 3D / ANIMADORA 3D,0.069,BAJA,True
Técnicos en Cartografía,DIBUJANTE DE CARTOGRAFÍA,0.738,DELINEANTE DE CARTOGRAFÍA,0.725,ALTA,False
Técnicos de aire acondicionado y refrigeración,TÉCNICO DE AIRE ACONDICIONADO Y REFRIGERACIÓN / TÉCNICA DE AIRE ACONDICIONADO Y REFRIGERACIÓN,0.952,MECÁNICO DE AIRE ACONDICIONADO Y REFRIGERACIÓN / MECÁNICA DE AIRE ACONDICIONADO Y REFRIGERACIÓN,0.914,ALTA,False
Agentes y corredores de seguros,AGENTE DE VENTAS DE SEGUROS,0.824,AGENTE DE SEGUROS,0.808,ALTA,False
6235,MONTAJISTA 360,0.111,OPERADOR DE CÁMARA 360 / OPERADORA DE CÁMARA 360,0.078,BAJA,True
Coordinadores y supervisores en operaciones y servicios portuarios,GERENTE DE OPERACIONES DE SERVICIOS PÚBLICOS / GERENTA DE OPERACIONES DE SERVICIOS PÚBLICOS,0.674,SUPERVISOR DE OPERACIONES FORESTALES / SUPERVISORA DE OPERACIONES FORESTALES,0.667,MEDIA,False
2173,MONTAJISTA 360,0.111,ANIMADOR 3D / ANIMADORA 3D,0.069,BAJA,True
Gerentes de Programas de Política de Desarrollo Económico,GERENTE DE PROGRAMAS DE POLÍTICA DE DESARROLLO ECONÓMICO / GERENTA DE PROGRAMAS DE POLÍTICA DE DESARROLLO ECONÓMICO,1.055,GERENTE DE PROGRAMAS DE POLÍTICA EDUCATIVA / GERENTA DE PROGRAMAS DE POLÍTICA EDUCATIVA,0.815,ALTA,False
Agroecólogos,AGROECÓLOGO / AGROECÓLOGA,0.611,MACROECONOMISTA,0.593,MEDIA,False
Expertos Forestales,EXPERTO FORESTAL / EXPERTA FORESTAL,0.679,VIVERISTA FORESTAL,0.649,MEDIA,False
"Supervisores, Procesamiento Textil",AYUDANTE DE PROCESAMIENTO QUÍMICO,0.676,SUPERVISOR DE PROCESAMIENTO DE TEXTOS / SUPERVISORA DE PROCESAMIENTO DE TEXTOS,0.664,MEDIA,False
9383,ANIMADOR 3D / ANIMADORA 3D,0.138,DISEÑADOR 3D / DISEÑADORA 3D,0.129,BAJA,True
6368,MONTAJISTA 360,0.222,OPERADOR DE CÁMARA 360 / OPERADORA DE CÁMARA 360,0.078,BAJA,True
Mecánicos de Motos,MECÁNICO DE MOTOS / MECÁNICA DE MOTOS,0.73,ECONOMISTA DE IMPUESTOS,0.634,ALTA,False
"Directores Musicales, Compositores y Arreglistas",DIRECTOR DE EMPRESAS MUSICALES / DIRECTORA DE EMPRESAS MUSICALES,0.627,EDITOR DE AMBIENTES MUSICALES / EDITORA DE AMBIENTES MUSICALES,0.619,MEDIA,False
"Conductores de Bus, Operadores de Metro y Otros Medios de Transporte Colectivo",OPERADOR DE METRO / OPERADORA DE METRO,0.609,CONDUCTOR DE VELOCÍPEDO DE TRANSPORTE / CONDUCTORA DE VELOCÍPEDO DE TRANSPORTE,0.606,MEDIA,False
"Directores y Gerentes Generales de Salud, Educación, Servicios Social, Comunitario y Organizaciones de Membresía",VICEPRESIDENTE DE RECURSOS HUMANOS ENTIDADES DE SALUD EDUCACIÓN Y ORGANIZACIONES DE MEMBRESÍA / VICEPRESIDENTA DE RECURSOS HUMANOS ENTIDADES DE SALUD EDUCACIÓN Y ORGANIZACIONES DE MEMBRESÍA,0.838,DIRECTOR GENERAL DE INSTITUCIÓN DE SERVICIOS SALUD / DIRECTORA GENERAL DE INSTITUCIÓN DE SERVICIOS SALUD,0.728,ALTA,False
Auxiliares de servicios a viajeros,AUXILIAR DE SERVICIOS A VIAJEROS,1.17,AUXILIAR DE SERVICIOS FINANCIEROS,0.936,ALTA,False
Operadores de equipo pesado (excepto grúa),OPERADOR DE EQUIPO PESADO / OPERADORA DE EQUIPO PESADO,0.888,ENSAMBLADOR DE EQUIPO PESADO / ENSAMBLADORA DE EQUIPO PESADO,0.786,ALTA,False
7211,ANIMADOR 2D / ANIMADORA 2D,0.069,TÉCNICO EN DIBUJO 2D / TÉCNICA EN DIBUJO 2D,0.043,BAJA,True
Ingenieros Topográficos,INGENIERO TOPOGRÁFICO / INGENIERA TOPOGRÁFICA,0.627,AGENTE DE SELLOS DISCOGRÁFICOS,0.604,MEDIA,False
6234,MONTAJISTA 360,0.111,OPERADOR DE CÁMARA 360 / OPERADORA DE CÁMARA 360,0.078,BAJA,True
Artistas creativos e interpretativos,ANALISTA DE COMPRAS E IMPORTACIONES,0.663,AUXILIAR DE COMPRAS E INVENTARIOS,0.622,MEDIA,False
Inspector de Sistemas de Suministros de Gas Licuado del Petróleo,INSPECTOR DEL SISTEMA DE SUMINISTRO DE GAS LICUADO DEL PETRÓLEO GLP / INSPECTORA DEL SISTEMA DE SUMINISTRO DE GAS LICUADO DEL PETRÓLEO GLP,1.017,INSPECTOR TÉCNICO DE GAS LICUADO DEL PETRÓLEO / INSPECTORA TÉCNICA DE GAS LICUADO DEL PETRÓLEO,0.935,ALTA,False
"Mecánicos de maquinaria textil, confección, cuero, calzado y marroquinería",MECÁNICO DE MAQUINARIA TEXTIL / MECÁNICA DE MAQUINARIA TEXTIL,0.872,TÉCNICO MECÁNICO EN MAQUINARIA TEXTIL / TÉCNICA MECÁNICA EN MAQUINARIA TEXTIL,0.812,ALTA,False
Oficiales de Máquinas,OFICIAL DE MÁQUINAS,1.05,OFICIAL DE ADUANA,0.737,ALTA,False
Operadores de Radio y Despachadores,OPERADOR DE RADIO / OPERADORA DE RADIO,0.794,REPARADOR DE RADIO / REPARADORA DE RADIO,0.776,ALTA,False
Técnicos y tecnólogos en imágenes diagnósticas,TECNÓLOGO DE IMÁGENES DIAGNÓSTICAS / TECNÓLOGA DE IMÁGENES DIAGNÓSTICAS,0.769,TÉCNICO DE IMÁGENES DIAGNÓSTICAS / TÉCNICA DE IMÁGENES DIAGNÓSTICAS,0.754,ALTA,False
Instaladores de Pisos,INSTALADOR DE PISOS / INSTALADORA DE PISOS,0.713,SOLADOR DE PISOS / SOLADORA DE PISOS,0.636,ALTA,False
Ensambladores de vehículos automotores,ENSAMBLADOR DE VEHÍCULOS AUTOMOTORES / ENSAMBLADORA DE VEHÍCULOS AUTOMOTORES,0.837,ELECTRICISTA DE VEHÍCULOS DE MOTOR,0.711,ALTA,False
9397,MONTAJISTA 360,0.111,ANIMADOR 3D / ANIMADORA 3D,0.069,BAJA,True
Operadores de Máquinas para la fabricación de Otros Productos nca,OPERADOR DE MÁQUINA PARA LA FABRICACIÓN DE PRODUCTOS DE PAPEL / OPERADORA DE MÁQUINA PARA LA FABRICACIÓN DE PRODUCTOS DE PAPEL,0.811,AYUDANTE EN FABRICACIÓN DE PRODUCTOS DE METAL,0.782,ALTA,False
1231,MONTAJISTA 360,0.111,ANIMADOR 3D / ANIMADORA 3D,0.069,BAJA,True
Gerentes de empresas de servicios públicos,GERENTE DE EMPRESAS DE SERVICIOS PÚBLICOS / GERENTA DE EMPRESAS DE SERVICIOS PÚBLICOS,0.951,GERENTE DE OPERACIONES DE SERVICIOS PÚBLICOS / GERENTA DE OPERACIONES DE SERVICIOS PÚBLICOS,0.761,ALTA,False
9228,ANIMADOR 2D / ANIMADORA 2D,0.138,TÉCNICO EN DIBUJO 2D / TÉCNICA EN DIBUJO 2D,0.087,BAJA,True
"Ocupaciones de asistencia en cine, televisión y artes escénicas","ASISTENTE DE CINE, TELEVISIÓN Y ARTES ESCÉNICAS / ASISTENTA DE CINE, TELEVISIÓN Y ARTES ESCÉNICAS",0.951,"ASISTENTE TÉCNICO DE CINE, TELEVISIÓN Y ARTES ESCÉNICAS / ASISTENTA TÉCNICA DE CINE, TELEVISIÓN Y ARTES ESCÉNICAS",0.923,ALTA,False
Gerentes de otros servicios a las empresas,REPRESENTANTE DE SERVICIOS A LAS EMPRESAS,1.019,GERENTE DE OTROS SERVICIOS A LAS EMPRESAS / GERENTA DE OTROS SERVICIOS A LAS EMPRESAS,0.951,ALTA,False
Instaladores residenciales y comerciales,INTÉRPRETE DE COMERCIALES,0.715,ANALISTA DE DATOS COMERCIALES,0.709,ALTA,False
6621,MONTAJISTA 360,0.111,OPERADOR DE CÁMARA 360 / OPERADORA DE CÁMARA 360,0.078,BAJA,True
1113,MONTAJISTA 360,0.111,ANIMADOR 3D / ANIMADORA 3D,0.069,BAJA,True
9412,ANIMADOR 2D / ANIMADORA 2D,0.069,TÉCNICO EN DIBUJO 2D / TÉCNICA EN DIBUJO 2D,0.043,BAJA,True
Contratistas y Supervisores de Operación de Equipo Pesado,INSTRUCTOR DE OPERACIÓN EQUIPO PESADO / INSTRUCTORA DE OPERACIÓN EQUIPO PESADO,0.837,SUPERVISOR DE PERSONAL MECÁNICO DE EQUIPO PESADO / SUPERVISORA DE PERSONAL MECÁNICO DE EQUIPO PESADO,0.674,ALTA,False
Productor de Campo para Cine y Televisión,AUXILIAR DE CÁMARA DE CINE Y DE TELEVISIÓN,0.899,PRODUCTOR DE TELEVISIÓN / PRODUCTORA DE TELEVISIÓN,0.867,ALTA,False
6213,MONTAJISTA 360,0.111,OPERADOR DE CÁMARA 360 / OPERADORA DE CÁMARA 360,0.078,BAJA,True
Ensambladores e Inspectores de Embarcaciones,INSPECTOR DE RECLAMACIONES / INSPECTORA DE RECLAMACIONES,0.646,ENSAMBLADOR DE EMBARCACIONES / ENSAMBLADORA DE EMBARCACIONES,0.644,MEDIA,False
Dietistas y nutricionistas,NUTRICIONISTA,0.667,COMENTARISTA DE NOTICIAS,0.6,MEDIA,False
3216,MONTAJISTA 360,0.222,OPERADOR DE CÁMARA 360 / OPERADORA DE CÁMARA 360,0.078,BAJA,True
3213,ANIMADOR 3D / ANIMADORA 3D,0.138,DISEÑADOR 3D / DISEÑADORA 3D,0.129,BAJA,True
Terapeutas ocupacionales,TERAPEUTA OCUPACIONAL,0.933,TERAPEUTA OCUPACIONAL EN EDUCACIÓN,0.759,ALTA,False
7223,ANIMADOR 2D / ANIMADORA 2D,0.138,MONTAJISTA 360,0.111,BAJA,True
4214,ANIMADOR 2D / ANIMADORA 2D,0.069,TÉCNICO EN DIBUJO 2D / TÉCNICA EN DIBUJO 2D,0.043,BAJA,True
2275,ANIMADOR 2D / ANIMADORA 2D,0.138,TÉCNICO EN DIBUJO 2D / TÉCNICA EN DIBUJO 2D,0.087,BAJA,True
Técnicos en Metrología,LABORATORISTA EN METROLOGÍA,0.794,TÉCNICO EN METROLOGÍA / TÉCNICA EN METROLOGÍA,0.736,ALTA,False
"Patronistas de productos de tela, cuero y piel",PATRONISTA DE PRODUCTOS DE CUERO,1.031,PATRONISTA DE PRODUCTOS DE PIEL,1.016,ALTA,False
7212,ANIMADOR 2D / ANIMADORA 2D,0.138,TÉCNICO EN DIBUJO 2D / TÉCNICA EN DIBUJO 2D,0.087,BAJA,True
Trabajadores de Vivero,TRABAJADOR DE VIVERO / TRABAJADORA DE VIVERO,0.715,AYUDANTE DE VIVERO,0.7,ALTA,False
2171,ANIMADOR 2D / ANIMADORA 2D,0.069,TÉCNICO EN DIBUJO 2D / TÉCNICA EN DIBUJO 2D,0.043,BAJA,True
"Contratistas y Supervisores, Construcción y Otras Ocupaciones de Instalación y Reparación",SUPERVISOR DE CONSTRUCCIÓN INSTALACIÓN Y REPARACIÓN / SUPERVISORA DE CONSTRUCCIÓN INSTALACIÓN Y REPARACIÓN,0.808,SUPERVISOR DE CONSTRUCCIÓN OBRAS CIVILES / SUPERVISORA DE CONSTRUCCIÓN OBRAS CIVILES,0.685,ALTA,False
"Ocupaciones de Asistencia en Cine, TV y Artes Escénicas","ASISTENTE DE CINE, TELEVISIÓN Y ARTES ESCÉNICAS / ASISTENTA DE CINE, TELEVISIÓN Y ARTES ESCÉNICAS",0.773,"ASISTENTE TÉCNICO DE CINE, TELEVISIÓN Y ARTES ESCÉNICAS / ASISTENTA TÉCNICA DE CINE, TELEVISIÓN Y ARTES ESCÉNICAS",0.751,ALTA,False
Desarrolladores de Aplicaciones Informáticas y Digitales,DESARROLLADOR DE APLICACIONES INFORMÁTICAS / DESARROLLADORA DE APLICACIONES INFORMÁTICAS,0.857,PROGRAMADOR DE APLICACIONES INFORMÁTICAS / PROGRAMADORA DE APLICACIONES INFORMÁTICAS,0.804,ALTA,False
2111,ANIMADOR 2D / ANIMADORA 2D,0.069,TÉCNICO EN DIBUJO 2D / TÉCNICA EN DIBUJO 2D,0.043,BAJA,True
9393,ANIMADOR 3D / ANIMADORA 3D,0.138,DISEÑADOR 3D / DISEÑADORA 3D,0.129,BAJA,True
"Ensambladores, Fabricantes e Inspectores de Transformadores y Motores Eléctricos Industriales",ENSAMBLADOR DE TRANSFORMADORES Y MOTORES ELÉCTRICOS INDUSTRIALES / ENSAMBLADORA DE TRANSFORMADORES Y MOTORES ELÉCTRICOS INDUSTRIALES,0.974,INSPECTOR PROBADOR DE MOTORES ELÉCTRICOS / INSPECTORA PROBADORA DE MOTORES ELÉCTRICOS,0.711,ALTA,False
1354,MONTAJISTA 360,0.111,ANIMADOR 3D / ANIMADORA 3D,0.069,BAJA,True
5267,MONTAJISTA 360,0.111,ANIMADOR 2D / ANIMADORA 2D,0.069,BAJA,True
Auxiliares en Enfermería,AUXILIAR EN ENFERMERÍA,1.057,PROFESIONAL DE ENFERMERÍA,0.753,ALTA,False
8325,MONTAJISTA 360,0.111,ANIMADOR 3D / ANIMADORA 3D,0.069,BAJA,True
Técnicos en asistencia y soporte de tecnologías de la información,AUXILIAR EN ASISTENCIA Y SOPORTE EQUIPOS DE TECNOLOGÍAS DE LA INFORMACIÓN,1.241,TÉCNICO EN ASISTENCIA Y SOPORTE DE TECNOLOGÍAS DE LA INFORMACIÓN / TÉCNICA EN ASISTENCIA Y SOPORTE DE TECNOLOGÍAS DE LA INFORMACIÓN,1.056,ALTA,False
1361,MONTAJISTA 360,0.222,OPERADOR DE CÁMARA 360 / OPERADORA DE CÁMARA 360,0.078,BAJA,True
Operadores de radio y despachadores,OPERADOR DE RADIO / OPERADORA DE RADIO,0.794,REPARADOR DE RADIO / REPARADORA DE RADIO,0.776,ALTA,False
Marineros de Cubierta,CAPITÁN OFICIAL DE CUBIERTA,0.767,OFICIAL DE CUBIERTA,0.75,ALTA,False
Anfitriones turísticos locales,INTERPRETE TURÍSTICO LOCAL,0.714,ANALISTA DE RELACIONES INTERINSTITUCIONALES,0.603,ALTA,False
9615,MONTAJISTA 360,0.111,OPERADOR DE CÁMARA 360 / OPERADORA DE CÁMARA 360,0.039,BAJA,True
"Supervisores, Fabricación de Productos Eléctricos",SUPERVISOR DE FABRICACIÓN DE PRODUCTOS ELÉCTRICOS / SUPERVISORA DE FABRICACIÓN DE PRODUCTOS ELÉCTRICOS,0.931,AYUDANTE DE FABRICACIÓN DE PRODUCTOS DE PLÁSTICO,0.929,ALTA,False
1336,MONTAJISTA 360,0.222,ANIMADOR 3D / ANIMADORA 3D,0.138,BAJA,True
6262,ANIMADOR 2D / ANIMADORA 2D,0.138,MONTAJISTA 360,0.111,BAJA,True
2223,ANIMADOR 2D / ANIMADORA 2D,0.138,MONTAJISTA 360,0.111,BAJA,True
"Chapistas, Caldereros y Paileros",CHAPISTA CALDERERO / CHAPISTA CALDERERA,0.696,SUPERVISOR DE CALDEREROS / SUPERVISORA DE CALDEREROS,0.661,MEDIA,False
1323,ANIMADOR 3D / ANIMADORA 3D,0.138,DISEÑADOR 3D / DISEÑADORA 3D,0.129,BAJA,True
5313,ANIMADOR 3D / ANIMADORA 3D,0.138,DISEÑADOR 3D / DISEÑADORA 3D,0.129,BAJA,True
Operarios de planta de procesamiento y empaque de pescado y mariscos,OPERADOR DE PLANTA DE PROCESAMIENTO Y EMPAQUE DE PESCADO / OPERADORA DE PLANTA DE PROCESAMIENTO Y EMPAQUE DE PESCADO,1.078,OPERADOR DE PLANTA DE PROCESAMIENTO DE PESCADO / OPERADORA DE PLANTA DE PROCESAMIENTO DE PESCADO,0.901,ALTA,False
Supervisores de Operación de Transporte Terrestre (no ferroviario),SUPERVISOR DE OPERACIONES DE TRANSPORTE FERROVIARIO / SUPERVISORA DE OPERACIONES DE TRANSPORTE FERROVIARIO,0.875,SUPERVISOR DE OPERACIONES DE TRANSPORTE TERRESTRE / SUPERVISORA DE OPERACIONES DE TRANSPORTE TERRESTRE,0.855,ALTA,False
8441,ÑEQUERA,0.0,ÁRBITRO DEPORTIVO / ÁRBITRA DEPORTIVA,0.0,BAJA,True
Intérpretes musicales,INTÉRPRETE MUSICAL,0.923,INTÉRPRETE VOCAL,0.757,ALTA,False
Auxiliares de Avaluo,AUXILIAR DE AVALÚO,0.895,AUXILIAR DE VALORES,0.821,ALTA,False
Asistentes de tesorería,ANALISTA DE TESORERÍA,0.873,ASISTENTE DE AUDITORÍA,0.8,ALTA,False
1215,ANIMADOR 2D / ANIMADORA 2D,0.069,TÉCNICO EN DIBUJO 2D / TÉCNICA EN DIBUJO 2D,0.043,BAJA,True
Auxiliares de Droguería y Farmacia,AUXILIAR DE DROGUERÍA,0.864,AUXILIAR DE VENTAS EN FARMACIA,0.85,ALTA,False
Operadores de máquinas para la fabricación de papel,OPERADOR DE MÁQUINA PARA LA FABRICACIÓN DE PAPEL / OPERADORA DE MÁQUINA PARA LA FABRICACIÓN DE PAPEL,0.84,OPERADOR DE CONTROL DE MÁQUINAS DE FABRICACIÓN DE PAPEL / OPERADORA DE CONTROL DE MÁQUINAS DE FABRICACIÓN DE PAPEL,0.824,ALTA,False
Operadores de máquinas de soldadura,OPERARIO DE MÁQUINA DE SOLDADURA / OPERARIA DE MÁQUINA DE SOLDADURA,0.694,REPARADOR DE MÁQUINAS DE COSER / REPARADORA DE MÁQUINAS DE COSER,0.651,MEDIA,False
Técnicos en Transmisión de Radio y Televisión,TÉCNICO DE TRANSMISIÓN DE RADIO / TÉCNICA DE TRANSMISIÓN DE RADIO,0.916,TÉCNICO DE TRANSMISIÓN DE TELEVISIÓN / TÉCNICA DE TRANSMISIÓN DE TELEVISIÓN,0.855,ALTA,False
Operadores de Máquinas y Trabajadores Relacionados con el Procesamiento del Caucho,OPERADOR DE MÁQUINA DE PROCESAMIENTO DE CAUCHO / OPERADORA DE MÁQUINA DE PROCESAMIENTO DE CAUCHO,0.72,OPERADOR DE FILTROS Y DE PROCESOS QUÍMICOS RELACIONADOS / OPERADORA DE FILTROS Y DE PROCESOS QUÍMICOS RELACIONADOS,0.664,ALTA,False
2231,ANIMADOR 2D / ANIMADORA 2D,0.138,MONTAJISTA 360,0.111,BAJA,True
2331,ANIMADOR 3D / ANIMADORA 3D,0.138,DISEÑADOR 3D / DISEÑADORA 3D,0.129,BAJA,True
Pedagogo reeducador,PEDAGOGO REEDUCADOR / PEDAGOGA REEDUCADORA,0.833,PEDAGOGO TERAPEUTA / PEDAGOGA TERAPEUTA,0.626,ALTA,False
Gerentes de empresas de telecomunicaciones,ANALISTA DE SISTEMAS EN TELECOMUNICACIONES,0.838,ELECTRICISTA DE EQUIPO DE TELECOMUNICACIONES,0.821,ALTA,False
9111,ÑEQUERA,0.0,ÁRBITRO DEPORTIVO / ÁRBITRA DEPORTIVA,0.0,BAJA,True
6376,OPERADOR DE CÁMARA 360 / OPERADORA DE CÁMARA 360,0.118,MONTAJISTA 360,0.111,BAJA,True
Gerentes Financieros,AGENTE DE FUTUROS FINANCIEROS,0.835,AUXILIAR DE SERVICIOS FINANCIEROS,0.666,ALTA,False
5114,ÑEQUERA,0.0,ÁRBITRO DEPORTIVO / ÁRBITRA DEPORTIVA,0.0,BAJA,True
Operadores de telares y otras máquinas tejedoras,REPARADOR DE TELARES / REPARADORA DE TELARES,0.671,REGULADOR DE TELARES / REGULADORA DE TELARES,0.649,MEDIA,False
Operadores de Plantas de Tratamiento de Aguas y Desechos,JEFE DE PLANTA DE TRATAMIENTO DE AGUAS Y DESECHOS / JEFA DE PLANTA DE TRATAMIENTO DE AGUAS Y DESECHOS,0.903,SUPERVISOR DE PLANTA DE TRATAMIENTO DE AGUAS Y DESECHOS / SUPERVISORA DE PLANTA DE TRATAMIENTO DE AGUAS Y DESECHOS,0.892,ALTA,False
Auxiliares de Talento Humano,AUXILIAR EN TALENTO HUMANO,1.089,ANALISTA DE TALENTO HUMANO,1.015,ALTA,False
Operadores de rellenos sanitarios,OPERADOR DE RADIO MILITAR,0.621,SOLADOR DE LADRILLOS / SOLADORA DE LADRILLOS,0.579,MEDIA,False
Gerentes de Otros Servicios,AYUDANTE DE OTROS OFICIOS,0.792,AGENTE DE SERVICIOS COUNTER,0.767,ALTA,False
Mecánicos de Vehículos Automotores,ELECTRICISTA DE VEHÍCULOS DE MOTOR,0.806,MECÁNICO DE VEHÍCULOS DE MOTOR / MECÁNICA DE VEHÍCULOS DE MOTOR,0.704,ALTA,False
4211,ANIMADOR 2D / ANIMADORA 2D,0.069,TÉCNICO EN DIBUJO 2D / TÉCNICA EN DIBUJO 2D,0.043,BAJA,True
Técnicos de laboratorio médico y patología,TÉCNICO DE LABORATORIO MÉDICO / TÉCNICA DE LABORATORIO MÉDICO,0.886,TÉCNICO DE LABORATORIO DE PATOLOGÍA / TÉCNICA DE LABORATORIO DE PATOLOGÍA,0.796,ALTA,False
Oficiales de las Fuerzas Militares,SUBOFICIAL DE LAS FUERZAS MILITARES,1.128,OFICIAL FUERZAS MILITARES,1.047,ALTA,False
Inspector de Construcción de Oleoductos y Gasoductos,INSPECTOR DE CONSTRUCCIÓN DE OLEODUCTOS Y GASODUCTOS / INSPECTORA DE CONSTRUCCIÓN DE OLEODUCTOS Y GASODUCTOS,1.054,INSPECTOR DE OBRAS Y SERVICIOS DE OLEODUCTOS Y GASODUCTOS / INSPECTORA DE OBRAS Y SERVICIOS DE OLEODUCTOS Y GASODUCTOS,0.833,ALTA,False
6373,ANIMADOR 3D / ANIMADORA 3D,0.138,DISEÑADOR 3D / DISEÑADORA 3D,0.129,BAJA,True
Trabajadores sociales y consultores de familia,TRABAJADOR SOCIAL CONSULTOR DE FAMILIA / TRABAJADORA SOCIAL CONSULTORA DE FAMILIA,0.703,ADMINISTRADOR DE REDES SOCIALES / ADMINISTRADORA DE REDES SOCIALES,0.641,ALTA,False
"Evaluadores, Ajustadores, Analistas y Liquidadores de Seguros",LIQUIDADOR DE SEGUROS / LIQUIDADORA DE SEGUROS,0.696,REPRESENTANTE DE VENTAS DE SEGUROS,0.616,MEDIA,False
Ingenieros mecánicos,INGENIERO MECÁNICO / INGENIERA MECÁNICA,0.621,DELINEANTE DE INGENIERÍA MECÁNICA,0.604,MEDIA,False
Técnico Acuícola en Sistemas de Levante y Engorde,TÉCNICO ACUÍCOLA EN SISTEMAS DE LEVANTE Y ENGORDE / TÉCNICA ACUÍCOLA EN SISTEMAS DE LEVANTE Y ENGORDE,1.158,TÉCNICO ACUÍCOLA EN SISTEMAS DE PRODUCCIÓN / TÉCNICA ACUÍCOLA EN SISTEMAS DE PRODUCCIÓN,0.878,ALTA,False
6261,MONTAJISTA 360,0.111,OPERADOR DE CÁMARA 360 / OPERADORA DE CÁMARA 360,0.078,BAJA,True
Oficiales del cuerpo de custodia y vigilancia,OFICIAL DEL CUERPO DE CUSTODIA Y VIGILANCIA,1.277,SUBOFICIAL DEL CUERPO DE CUSTODIA Y VIGILANCIA,1.245,ALTA,False
6221,ANIMADOR 2D / ANIMADORA 2D,0.138,MONTAJISTA 360,0.111,BAJA,True
2212,ANIMADOR 2D / ANIMADORA 2D,0.138,TÉCNICO EN DIBUJO 2D / TÉCNICA EN DIBUJO 2D,0.087,BAJA,True
